event_type,product_id,category_id,category_code,brand,user_id
view,1378998,2144415922016747613,computers.peripherals.wifi,zyxel,1515915625353286099
view,4035841,2144415922016747613,computers.peripherals.wifi,tp-link,1515915625353286099
view,1378998,2144415922016747613,computers.peripherals.wifi,zyxel,1515915625353286099
view,1378998,2144415922016747613,computers.peripherals.wifi,zyxel,1515915625353286099
view,1378998,2144415922016747613,computers.peripherals.wifi,zyxel,1515915625353286099
cart,1023383,2144415922016747613,computers.peripherals.wifi,zyxel,1515915625353286099
view,1378998,2144415922016747613,computers.peripherals.wifi,zyxel,1515915625353286099
view,1378998,2144415922016747613,computers.peripherals.wifi,zyxel,1515915625353286099
purchase,1023383,2144415922016747613,computers.peripherals.wifi,zyxel,1515915625353286099
cart,4035841,2144415922016747613,computers.peripherals.wifi,tp-link,1515915625353286099
view,1023383,2144415922016747613,computers.peripherals.wifi,zyxel,1515915625353286099
cart,1428321,2144415941352489571,electronics.tablet,samsung,1515915625353534622
cart,1428321,2144415941352489571,electronics.tablet,samsung,1515915625353534622
purchase,1428321,2144415941352489571,electronics.tablet,samsung,1515915625353534622
view,1428321,2144415941352489571,electronics.tablet,samsung,1515915625353534622
view,1428321,2144415941352489571,electronics.tablet,samsung,1515915625353534622
view,1428321,2144415941352489571,electronics.tablet,samsung,1515915625353534622
purchase,1428321,2144415941352489571,electronics.tablet,samsung,1515915625353534622
purchase,1428321,2144415941352489571,electronics.tablet,samsung,1515915625353534622
view,1428321,2144415941352489571,electronics.tablet,samsung,1515915625353534622
view,1428321,2144415941352489571,electronics.tablet,samsung,1515915625353534622
cart,1507368,2144415922016747613,computers.peripherals.wifi,keenetic,1515915625353561691
view,1507368,2144415922016747613,computers.peripherals.wifi,keenetic,1515915625353561691
view,1507368,2144415922016747613,computers.peripherals.wifi,keenetic,1515915625353561691
purchase,1507368,2144415922016747613,computers.peripherals.wifi,keenetic,1515915625353561691
view,1154498,2144415922016747613,computers.peripherals.wifi,keenetic,1515915625353561691
view,1507368,2144415922016747613,computers.peripherals.wifi,keenetic,1515915625353561691
purchase,1507368,2144415922016747613,computers.peripherals.wifi,keenetic,1515915625353561691
view,1507368,2144415922016747613,computers.peripherals.wifi,keenetic,1515915625353561691
cart,1507368,2144415922016747613,computers.peripherals.wifi,keenetic,1515915625353561691
view,1507368,2144415922016747613,computers.peripherals.wifi,keenetic,1515915625353561691
view,780598,2144415925430911157,appliances.kitchen.coffee_machine,galaxy,1515915625353706476
view,1675306,2144415925430911157,appliances.kitchen.coffee_machine,kitfort,1515915625353706476
view,780596,2144415925430911157,appliances.kitchen.coffee_machine,delta,1515915625353706476
view,597470,2144415925430911157,appliances.kitchen.coffee_machine,philips,1515915625353706476
cart,3760935,2144415925430911157,appliances.kitchen.coffee_machine,sinbo,1515915625353706476
cart,1328624,2144415925430911157,appliances.kitchen.coffee_machine,philips,1515915625353706476
view,478763,2144415925430911157,appliances.kitchen.coffee_machine,philips,1515915625353706476
view,1328624,2144415925430911157,appliances.kitchen.coffee_machine,philips,1515915625353706476
view,1621966,2144415925430911157,appliances.kitchen.coffee_machine,melitta,1515915625353706476
view,780598,2144415925430911157,appliances.kitchen.coffee_machine,galaxy,1515915625353706476
view,32402,2144415925430911157,appliances.kitchen.coffee_machine,scarlett,1515915625353706476
view,1675306,2144415925430911157,appliances.kitchen.coffee_machine,kitfort,1515915625353706476
view,3760935,2144415925430911157,appliances.kitchen.coffee_machine,sinbo,1515915625353706476
view,780598,2144415925430911157,appliances.kitchen.coffee_machine,galaxy,1515915625353706476
view,1795171,2144415922360680550,computers.peripherals.camera,canyon,1515915625353900095
view,1795171,2144415922360680550,computers.peripherals.camera,canyon,1515915625353900095
view,892155,2144415933299425669,electronics.video.projector,cactus,1515915625353900095
view,16237,2144415922360680550,computers.peripherals.camera,sven,1515915625353900095
view,1795171,2144415922360680550,computers.peripherals.camera,canyon,1515915625353900095
view,1795171,2144415922360680550,computers.peripherals.camera,canyon,1515915625353900095
view,16237,2144415922360680550,computers.peripherals.camera,sven,1515915625353900095
purchase,16237,2144415922360680550,computers.peripherals.camera,sven,1515915625353900095
view,1024079,2144415926060056772,electronics.video.projector,ricoh,1515915625353900095
view,3791077,2144415926966026460,computers.components.cpu,amd,1515915625353900095
view,1795171,2144415922360680550,computers.peripherals.camera,canyon,1515915625353900095
view,16237,2144415922360680550,computers.peripherals.camera,sven,1515915625353900095
view,4183805,2144415927049912542,electronics.video.tv,bbk,1515915625353900095
view,1795171,2144415922360680550,computers.peripherals.camera,canyon,1515915625353900095
view,1795171,2144415922360680550,computers.peripherals.camera,canyon,1515915625353900095
view,1795171,2144415922360680550,computers.peripherals.camera,canyon,1515915625353900095
view,1703800,2144415926060056772,electronics.video.projector,optoma,1515915625353900095
view,1703800,2144415926060056772,electronics.video.projector,optoma,1515915625353900095
view,1703800,2144415926060056772,electronics.video.projector,optoma,1515915625353900095
view,1795171,2144415922360680550,computers.peripherals.camera,canyon,1515915625353900095
view,4153894,2144415927049912542,electronics.video.tv,philips,1515915625353900095
view,1703800,2144415926060056772,electronics.video.projector,optoma,1515915625353900095
purchase,1795171,2144415922360680550,computers.peripherals.camera,canyon,1515915625353900095
cart,16237,2144415922360680550,computers.peripherals.camera,sven,1515915625353900095
view,1703800,2144415926060056772,electronics.video.projector,optoma,1515915625353900095
view,3829912,2144415923107266682,computers.peripherals.printer,pantum,1515915625353900095
view,16237,2144415922360680550,computers.peripherals.camera,sven,1515915625353900095
view,1795171,2144415922360680550,computers.peripherals.camera,canyon,1515915625353900095
view,16237,2144415922360680550,computers.peripherals.camera,sven,1515915625353900095
view,16237,2144415922360680550,computers.peripherals.camera,sven,1515915625353900095
view,16237,2144415922360680550,computers.peripherals.camera,sven,1515915625353900095
view,1795171,2144415922360680550,computers.peripherals.camera,canyon,1515915625353900095
view,1795171,2144415922360680550,computers.peripherals.camera,canyon,1515915625353900095
cart,1795171,2144415922360680550,computers.peripherals.camera,canyon,1515915625353900095
view,16237,2144415922360680550,computers.peripherals.camera,sven,1515915625353900095
view,1795171,2144415922360680550,computers.peripherals.camera,canyon,1515915625353900095
view,1795171,2144415922360680550,computers.peripherals.camera,canyon,1515915625353900095
view,16237,2144415922360680550,computers.peripherals.camera,sven,1515915625353900095
view,1795171,2144415922360680550,computers.peripherals.camera,canyon,1515915625353900095
view,16237,2144415922360680550,computers.peripherals.camera,sven,1515915625353900095
view,1848234,2144415926806642904,computers.components.power_supply,thermaltake,1515915625354061413
view,597567,2144415926806642904,computers.components.power_supply,zalman,1515915625354061413
view,130544,2144415926806642904,computers.components.power_supply,chieftec,1515915625354061413
view,1667731,2144415926806642904,computers.components.power_supply,thermaltake,1515915625354061413
view,1009727,2144415926806642904,computers.components.power_supply,thermaltake,1515915625354061413
view,1549667,2144415926806642904,computers.components.power_supply,aerocool,1515915625354061413
view,1549667,2144415926806642904,computers.components.power_supply,aerocool,1515915625354061413
view,1016084,2144415926806642904,computers.components.power_supply,accord,1515915625354061413
view,269973,2144415926806642904,computers.components.power_supply,chieftec,1515915625354061413
view,1848234,2144415926806642904,computers.components.power_supply,thermaltake,1515915625354061413
view,824149,2144415926806642904,computers.components.power_supply,zalman,1515915625354061413
view,952895,2144415926806642904,computers.components.power_supply,chieftec,1515915625354061413
view,269973,2144415926806642904,computers.components.power_supply,chieftec,1515915625354061413
view,1009728,2144415926806642904,computers.components.power_supply,thermaltake,1515915625354061413
cart,1667731,2144415926806642904,computers.components.power_supply,thermaltake,1515915625354061413
view,1848234,2144415926806642904,computers.components.power_supply,thermaltake,1515915625354061413
view,3791351,2144415926966026460,computers.components.cpu,amd,1515915625354176736
view,3791351,2144415926966026460,computers.components.cpu,amd,1515915625354176736
purchase,3791403,2144415926966026460,computers.components.cpu,amd,1515915625354176736
view,3791351,2144415926966026460,computers.components.cpu,amd,1515915625354176736
view,3791403,2144415926966026460,computers.components.cpu,amd,1515915625354176736
cart,3791403,2144415926966026460,computers.components.cpu,amd,1515915625354176736
view,3791351,2144415926966026460,computers.components.cpu,amd,1515915625354176736
view,3791403,2144415926966026460,computers.components.cpu,amd,1515915625354176736
cart,3791403,2144415926966026460,computers.components.cpu,amd,1515915625354176736
view,3791351,2144415926966026460,computers.components.cpu,amd,1515915625354176736
view,3580373,2144415937770553861,stationery.stapler,p.i.t,1515915625354561351
purchase,3580373,2144415937770553861,stationery.stapler,p.i.t,1515915625354561351
view,3580373,2144415937770553861,stationery.stapler,p.i.t,1515915625354561351
cart,3580373,2144415937770553861,stationery.stapler,p.i.t,1515915625354561351
view,3580373,2144415937770553861,stationery.stapler,p.i.t,1515915625354561351
view,3580373,2144415937770553861,stationery.stapler,p.i.t,1515915625354561351
view,3580373,2144415937770553861,stationery.stapler,p.i.t,1515915625354561351
cart,3580373,2144415937770553861,stationery.stapler,p.i.t,1515915625354561351
purchase,3580373,2144415937770553861,stationery.stapler,p.i.t,1515915625354561351
view,3580373,2144415937770553861,stationery.stapler,p.i.t,1515915625354561351
view,3580373,2144415937770553861,stationery.stapler,p.i.t,1515915625354561351
view,3580373,2144415937770553861,stationery.stapler,p.i.t,1515915625354561351
view,3580373,2144415937770553861,stationery.stapler,p.i.t,1515915625354561351
view,3580373,2144415937770553861,stationery.stapler,p.i.t,1515915625354561351
view,3580373,2144415937770553861,stationery.stapler,p.i.t,1515915625354561351
view,3580373,2144415937770553861,stationery.stapler,p.i.t,1515915625354561351
cart,3580373,2144415937770553861,stationery.stapler,p.i.t,1515915625354561351
purchase,3580373,2144415937770553861,stationery.stapler,p.i.t,1515915625354561351
view,3580373,2144415937770553861,stationery.stapler,p.i.t,1515915625354561351
view,3580373,2144415937770553861,stationery.stapler,p.i.t,1515915625354561351
view,3580373,2144415937770553861,stationery.stapler,p.i.t,1515915625354561351
view,4102625,2144415925196030129,electronics.telephone,alcatel,1515915625354822642
cart,4035841,2144415922016747613,computers.peripherals.wifi,tp-link,1515915625354822642
purchase,4035841,2144415922016747613,computers.peripherals.wifi,tp-link,1515915625354822642
view,4035841,2144415922016747613,computers.peripherals.wifi,tp-link,1515915625354822642
view,4102625,2144415925196030129,electronics.telephone,alcatel,1515915625354822642
view,4035841,2144415922016747613,computers.peripherals.wifi,tp-link,1515915625354822642
view,4035841,2144415922016747613,computers.peripherals.wifi,tp-link,1515915625354822642
view,3557533,2144415926185885895,construction.tools.drill,metabo,1515915625354857951
purchase,3557532,2144415926185885895,construction.tools.drill,metabo,1515915625354857951
view,863791,2144415926185885895,construction.tools.drill,bosch,1515915625354857951
view,867675,2144415926185885895,construction.tools.drill,bosch,1515915625354857951
view,3557532,2144415926185885895,construction.tools.drill,metabo,1515915625354857951
view,3557533,2144415926185885895,construction.tools.drill,metabo,1515915625354857951
purchase,3557532,2144415926185885895,construction.tools.drill,metabo,1515915625354857951
view,3557533,2144415926185885895,construction.tools.drill,metabo,1515915625354857951
view,860390,2144415926185885895,construction.tools.drill,bosch,1515915625354857951
view,475709,2144415926185885895,construction.tools.drill,metabo,1515915625354857951
view,3557532,2144415926185885895,construction.tools.drill,metabo,1515915625354857951
cart,3557533,2144415926185885895,construction.tools.drill,metabo,1515915625354857951
view,3557533,2144415926185885895,construction.tools.drill,metabo,1515915625354857951
view,475709,2144415926185885895,construction.tools.drill,metabo,1515915625354857951
cart,3557532,2144415926185885895,construction.tools.drill,metabo,1515915625354857951
view,3557532,2144415926185885895,construction.tools.drill,metabo,1515915625354857951
view,3557532,2144415926185885895,construction.tools.drill,metabo,1515915625354857951
purchase,84028,2144415926445932750,electronics.audio.acoustic,pioneer,1515915625355179497
view,544117,2144415926445932750,electronics.audio.acoustic,jvc,1515915625355179497
purchase,1414233,2144415926445932750,electronics.audio.acoustic,jbl,1515915625355179497
